left_hip,left_knee,right_hip,right_knee
176.11607257894195,177.27883032286658,179.5338345801903,179.94282266522498
176.14347529789202,176.6109607654444,179.1291322114887,179.80926514619455
176.2684131181899,176.18686065949996,178.90608555395275,179.68852106204707
176.3242157637089,175.87089610849517,178.85510502198778,179.70724944075124
176.34140051966065,175.67189171683768,178.68847572699616,179.6020508671547
176.39993524084767,175.4968476287886,178.56154349146064,179.5947425647428
176.50719653157356,175.28418285879107,178.3482913251945,179.5043655016452
176.68882492198253,175.0648791449203,178.13156942282998,179.352216207694
177.5307140390783,174.43562747706537,177.85187317631798,179.18065551612162
178.7546566175879,173.72567029397757,177.25429992583355,178.90367768489924
179.77473170975097,173.2790305637721,176.31818151894828,178.5828500392054
178.63503632692996,172.73821618529047,174.44165534637898,178.12122487396093
174.68579362807193,171.21956460447316,171.4688018497526,177.35684474356646
170.82665478474468,170.01432308391105,168.47176948346436,176.66306144843324
166.81241600574478,168.99498565217834,164.90785873682174,175.4962329117633
163.1746299330393,168.18028068797923,160.40706460210683,172.2393255079344
155.0901721446021,165.28956704631142,150.5262397411996,164.80768353998866
148.29884675096673,161.69560346732075,144.60865946694892,160.78298091118032
142.7910641665385,159.29561159676166,137.2992778851464,156.29356587162263
135.89197204817864,155.80508440256168,129.15761043222116,151.41786265336572
125.8104352483214,151.02064617199446,115.67697535039372,141.85883532501444
115.5402076424534,142.6829386295115,103.69663230089458,133.8912147525195
110.59053347548522,140.2605847196098,97.35316241113696,128.08610037314224
104.5288771908823,136.22526797683125,92.01151734808008,124.05148030965903
95.52543110999824,128.00958859405975,84.91943140453236,118.80023963045646
90.7471673704407,124.41460048669359,82.12979090220239,115.94945527467654
86.6626596052597,122.49283114106211,77.59093895343216,112.59999880759399
84.23944509152261,119.93002122106827,73.93244374716323,107.48197413796335
74.89462615592129,111.96002374274214,63.8866834781785,99.87667461037005
73.29201788982618,111.62622556781444,61.16572735814219,98.37895755935882
68.96533893743322,109.45850794035998,56.837491122618474,96.41189039915183
62.33582072523541,102.40001969733956,51.20515320848591,92.45341328453591
54.85422275370024,95.9187985524011,43.72065923674256,84.95012946238592
51.52772938260722,93.46028562103335,41.359271595372434,81.53833385874866
48.11099555220005,89.53292001808684,38.39431379742655,77.20037826403602
43.29475596085729,83.55752902270119,35.52629004418151,73.26954975518031
39.27068170945256,80.67887066491845,32.56614069941139,70.70723843899589
37.0925343831355,78.39363280260476,32.11889991255896,69.46867925566245
36.27088994673966,77.46392794335013,32.84858268196973,69.509277900089
35.99437656838086,77.39966269344947,33.07922450986274,68.88447268538374
38.62599381407341,79.31702656706628,35.25461243975508,71.03526510407491
40.10828146774958,80.35298867923879,36.969427053535185,72.45758369683837
41.44830994139272,81.39587660322971,38.58039547117437,75.2000412523819
44.30182637284065,83.1271109917745,44.82376210845632,80.49225623641536
53.70530297303401,91.05377775000608,51.348805747109566,87.35141223869813
60.12171928312739,95.3728342112853,56.72296251061573,91.18113345727014
63.341443137114766,96.64443784982325,59.85678990560098,93.19401752642958
69.9130140243941,101.82822358078276,64.11246221138248,96.93882583323997
81.42193741737896,114.11772148268417,73.33788944029197,103.74412579391719
86.97936181669485,117.0688139966149,79.07216109759781,107.23805442232386
93.63054538893994,121.05626477369002,86.19837066623893,113.44835611383377
97.0908285054951,123.37436267610065,89.64594963093788,115.88873489295513
107.63795198031545,128.98216655073455,97.39433479145379,120.53570873628667
113.15210030105013,134.17379333886123,101.57820814868012,123.18896402126981
119.80784643966075,138.21673257275353,108.63199039136242,127.94634104234544
125.7134738828639,141.03280590717145,113.47642500359902,131.04772503877314
135.2882789481979,147.0466918487193,123.17575807788069,137.82827239389823
140.9845064518268,149.41922635881494,130.57889083623078,141.84436898435237
144.78073925289823,150.96170163945723,133.45450975983286,143.45730449647255
150.65298073143833,155.2739415719448,138.98459974209038,146.9852611273242
157.72958946632681,159.6271489790741,148.28779550488963,154.49336023283905
162.9126511972343,162.00495639520895,154.96552119224938,160.41703303582938
168.54660103601103,165.4209252444291,161.58416574328848,166.80873772150565
171.09622869090674,166.46375852690664,164.2983599760465,168.72642261401344
176.52172115621468,168.63594992826745,170.31672652168987,173.08529907815384
178.1014346282119,169.1467797762927,172.5271806427811,173.42460921574173
179.8329149035668,169.2459541230413,173.13738974323005,173.57106213192515
178.60966536188687,169.54213844620972,175.45088409814008,175.12525801718323
177.8829605549542,169.22517668758613,175.93517183105067,174.95414811809604
